TAIL,DAY_TO_GO,EQP,SUBFLEET,CHECK_MH,SCHED_DATE,STATION_NAME,DESCR,CHECK_SEQ
T196,350,321,321K,92,,,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T196,353,321,321K,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T196,353,321,321K,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T196,355,321,321K,92,,,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T196,369,321,321K,92,,,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
T197,42,321,321K,120,,,CKC | A06 | ARBS | V2500 A-CHECK 6,A06
T197,210,321,321K,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T197,210,321,321K,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T197,221,321,321K,92,,,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
T197,226,321,321K,92,,,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T197,224,321,321K,92,,,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T197,238,321,321K,92,,,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T197,507,321,321K,92,,,CKC | C10 | A320 SERIES C10 PHASE CHECK,C10
T197,512,321,321K,92,,,CKC | C07 | A320 SERIES C7 PHASE CHECK,C07
T197,510,321,321K,92,,,CKC | C08 | A320 SERIES C8 PHASE CHECK,C08
T197,514,321,321K,92,,,CKC | C09 | A320 SERIES C9 PHASE CHECK,C09
T198,47,321,321K,120,,,CKC | A04 | ARBS | V2500 A-CHECK 4,A04
T198,251,321,321K,92,,,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
T198,257,321,321K,92,,,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T198,274,321,321K,92,,,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T198,291,321,321K,92,,,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T198,294,321,321K,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T198,294,321,321K,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T198,567,321,321K,92,,,CKC | C07 | A320 SERIES C7 PHASE CHECK,C07
T198,569,321,321K,92,,,CKC | C10 | A320 SERIES C10 PHASE CHECK,C10
T198,564,321,321K,92,,,CKC | C09 | A320 SERIES C9 PHASE CHECK,C09
T198,574,321,321K,92,,,CKC | C08 | A320 SERIES C8 PHASE CHECK,C08
T199,53,321,321K,120,,,CKC | A02 | ARBS | V2500 A-CHECK 2,A02
T199,345,321,321K,92,,,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
T199,349,321,321K,92,,,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T199,356,321,321K,92,,,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T199,360,321,321K,92,,,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T199,362,321,321K,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T199,362,321,321K,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T002,64,319,319S,120,,,CKC | A05 | ARBS | CFM A-CHECK 5,A05
T020,51,319,319S,120,,,CKC | A08 | ARBS | CFM A-CHECK 8,A08
T020,185,319,319S,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T020,191,319,319S,92,,,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
T020,196,319,319S,92,,,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T020,201,319,319S,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T020,209,319,319S,92,,,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T020,209,319,319S,92,,,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T200,28,321,321K,120,,,CKC | A10 | ARBS | V2500 A-CHECK 10,A10
T200,96,321,321K,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T200,96,321,321K,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T200,97,321,321K,92,,,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T200,103,321,321K,92,,,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T200,107,321,321K,92,,,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T200,112,321,321K,92,,,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
T201,93,321,321K,120,,,CKC | A12 | ARBS | V2500 A-CHECK 12,A12
T202,18,321,321K,92,,,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T202,38,321,321K,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T202,38,321,321K,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T202,37,321,321K,120,,,CKC | A11 | ARBS | V2500 A-CHECK 11,A11
T203,36,321,321K,92,,,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
T203,62,321,321K,92,,,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T203,50,321,321K,120,,,CKC | A10 | ARBS | V2500 A-CHECK 10,A10
T203,73,321,321K,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T203,73,321,321K,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T203,78,321,321K,92,,,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T203,82,321,321K,92,,,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T204,19,321,321K,120,,,CKC | A09 | ARBS | V2500 A-CHECK 9,A09
T204,42,321,321K,92,,,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T204,43,321,321K,92,,,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T204,46,321,321K,92,,,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T204,60,321,321K,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T204,60,321,321K,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T204,65,321,321K,92,,,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
T205,51,321,321K,92,,,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T205,60,321,321K,92,,,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T205,71,321,321K,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T205,71,321,321K,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T205,79,321,321K,92,,,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T205,78,321,321K,120,,,CKC | A10 | ARBS | V2500 A-CHECK 10,A10
T206,60,321,321K,120,,,CKC | A09 | ARBS | V2500 A-CHECK 9,A09
T206,95,321,321K,92,,,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
T206,101,321,321K,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T206,101,321,321K,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T206,107,321,321K,92,,,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T206,110,321,321K,92,,,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T206,112,321,321K,92,,,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T207,75,321,321K,120,,,CKC | A10 | ARBS | V2500 A-CHECK 10,A10
T207,179,321,321K,92,,,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T207,168,321,321K,92,,,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T207,192,321,321K,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T207,192,321,321K,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T207,197,321,321K,92,,,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T207,189,321,321K,92,,,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
T208,66,321,321K,120,,,CKC | A08 | ARBS | V2500 A-CHECK 8,A08
T208,159,321,321K,92,,,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T208,165,321,321K,92,,,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T208,166,321,321K,92,,,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
T208,153,321,321K,92,,,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T208,177,321,321K,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T208,193,321,321K,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T209,77,321,321K,120,,,CKC | A09 | ARBS | V2500 A-CHECK 9,A09
T209,199,321,321K,92,,,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T209,207,321,321K,92,,,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
T209,212,321,321K,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T209,212,321,321K,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T209,227,321,321K,92,,,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T209,229,321,321K,92,,,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T021,35,319,319S,120,,,CKC | A07 | ARBS | CFM A-CHECK 7,A07
T021,203,319,319S,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T021,213,319,319S,92,,,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T021,227,319,319S,92,,,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
T021,228,319,319S,92,,,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T021,231,319,319S,92,,,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T021,232,319,319S,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T210,42,321,321K,120,,,CKC | A09 | ARBS | V2500 A-CHECK 9,A09
T210,201,321,321K,92,,,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T210,217,321,321K,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T210,217,321,321K,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T210,220,321,321K,92,,,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
T210,225,321,321K,92,,,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T210,231,321,321K,92,,,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T211,49,321,321K,120,,,CKC | A08 | ARBS | V2500 A-CHECK 8,A08
T211,203,321,321K,92,,,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T211,206,321,321K,92,,,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T211,217,321,321K,92,,,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
T211,237,321,321K,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T211,229,321,321K,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T211,240,321,321K,92,,,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T212,28,321,321K,92,,,CKC | C08 | A320 SERIES C8 PHASE CHECK,C08
T212,28,321,321K,92,,,CKC | C09 | A320 SERIES C9 PHASE CHECK,C09
T212,32,321,321K,120,,,CKC | A07 | ARBS | V2500 A-CHECK 7,A07
T212,227,321,321K,92,,,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T212,247,321,321K,92,,,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T212,253,321,321K,92,,,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T212,257,321,321K,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T212,257,321,321K,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T212,259,321,321K,92,,,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
T213,19,321,321K,92,,,CKC | C09 | A320 SERIES C9 PHASE CHECK,C09
T213,19,321,321K,92,,,CKC | C08 | A320 SERIES C8 PHASE CHECK,C08
T213,19,321,321K,92,,,CKC | C10 | A320 SERIES C10 PHASE CHECK,C10
T213,60,321,321K,120,,,CKC | A08 | ARBS | V2500 A-CHECK 8,A08
T213,202,321,321K,92,,,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
T213,216,321,321K,92,,,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T213,218,321,321K,92,,,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T213,233,321,321K,92,,,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T213,254,321,321K,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T213,254,321,321K,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T214,43,321,321K,92,,,CKC | C07 | A320 SERIES C7 PHASE CHECK,C07
T214,43,321,321K,92,,,CKC | C09 | A320 SERIES C9 PHASE CHECK,C09
T214,43,321,321K,92,,,CKC | C10 | A320 SERIES C10 PHASE CHECK,C10
T214,82,321,321K,120,,,CKC | A09 | ARBS | V2500 A-CHECK 9,A09
T214,248,321,321K,92,,,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
T214,261,321,321K,92,,,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T214,267,321,321K,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T214,267,321,321K,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T214,273,321,321K,92,,,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T214,278,321,321K,92,,,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T215,31,321,321K,120,,,CKC | A08 | ARBS | V2500 A-CHECK 8,A08
T215,52,321,321K,92,,,CKC | C08 | A320 SERIES C8 PHASE CHECK,C08
T215,52,321,321K,92,,,CKC | C07 | A320 SERIES C7 PHASE CHECK,C07
T215,52,321,321K,92,,,CKC | C09 | A320 SERIES C9 PHASE CHECK,C09
T215,52,321,321K,92,,,CKC | C10 | A320 SERIES C10 PHASE CHECK,C10
T215,252,321,321K,92,,,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T215,268,321,321K,92,,,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T215,271,321,321K,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T215,271,321,321K,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T215,283,321,321K,92,,,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T215,289,321,321K,92,,,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
T216,26,320,H205,92,,,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T216,26,320,H205,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T216,26,320,H205,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T216,26,320,H205,92,,,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T216,26,320,H205,92,,,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T216,26,320,H205,92,,,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
T216,30,320,H205,120,,,CKC | A11 | ARBS | V2500 A-CHECK 11,A11
T217,35,320,H205,120,,,CKC | A04 | ARBS | V2500 A-CHECK 4,A04
T217,226,320,H205,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T217,226,320,H205,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T217,237,320,H205,92,,,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T217,245,320,H205,92,,,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
T217,247,320,H205,92,,,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T217,252,320,H205,92,,,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T217,531,320,H205,92,,,CKC | C10 | A320 SERIES C10 PHASE CHECK,C10
T217,498,320,H205,92,,,CKC | C09 | A320 SERIES C9 PHASE CHECK,C09
T217,582,320,H205,92,,,CKC | C07 | A320 SERIES C7 PHASE CHECK,C07
T217,582,320,H205,92,,,CKC | C08 | A320 SERIES C8 PHASE CHECK,C08
T218,106,320,H205,120,,,CKC | A11 | ARBS | V2500 A-CHECK 11,A11
T218,319,320,H205,92,,,CKC | C07 | A320 SERIES C7 PHASE CHECK,C07
T218,319,320,H205,92,,,CKC | C08 | A320 SERIES C8 PHASE CHECK,C08
T218,319,320,H205,92,,,CKC | C09 | A320 SERIES C9 PHASE CHECK,C09
T218,319,320,H205,92,,,CKC | C10 | A320 SERIES C10 PHASE CHECK,C10
T219,26,320,H205,92,,,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
T219,26,320,H205,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T219,26,320,H205,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T219,26,320,H205,92,,,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T219,26,320,H205,92,,,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T219,44,320,H205,120,,,CKC | A04 | ARBS | V2500 A-CHECK 4,A04
T022,62,319,319S,120,,,CKC | A09 | ARBS | CFM A-CHECK 9,A09
T022,236,319,319S,92,,,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T022,243,319,319S,92,,,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T022,253,319,319S,92,,,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T022,251,319,319S,92,,,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
T022,252,319,319S,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T022,254,319,319S,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T220,104,320,H205,120,,,CKC | A04 | ARBS | V2500 A-CHECK 4,A04
T220,262,320,H205,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T220,262,320,H205,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T220,262,320,H205,92,,,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
T220,262,320,H205,92,,,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T220,262,320,H205,92,,,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T220,262,320,H205,92,,,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T221,84,320,H205,120,,,CKC | A06 | ARBS | V2500 A-CHECK 6,A06
T221,134,320,H205,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T221,134,320,H205,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T221,134,320,H205,92,,,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
T221,134,320,H205,92,,,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T221,134,320,H205,92,,,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T221,134,320,H205,92,,,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T222,24,320,H205,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T222,24,320,H205,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T222,24,320,H205,92,,,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T222,24,320,H205,92,,,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T222,24,320,H205,92,,,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T222,95,320,H205,120,,,CKC | A05 | ARBS | V2500 A-CHECK 5,A05
T223,87,320,H205,120,,,CKC | A07 | ARBS | V2500 A-CHECK 7,A07
T223,330,320,H205,92,,,CKC | C07 | A320 SERIES C7 PHASE CHECK,C07
T223,330,320,H205,92,,,CKC | C08 | A320 SERIES C8 PHASE CHECK,C08
T223,330,320,H205,92,,,CKC | C09 | A320 SERIES C9 PHASE CHECK,C09
T223,330,320,H205,92,,,CKC | C10 | A320 SERIES C10 PHASE CHECK,C10
T224,46,320,H205,120,,,CKC | A10 | ARBS | V2500 A-CHECK 10,A10
T224,353,320,H205,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T224,353,320,H205,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T224,353,320,H205,92,,,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
T224,353,320,H205,92,,,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T224,353,320,H205,92,,,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T224,353,320,H205,92,,,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T226,16,320,H205,120,,,CKC | A12 | ARBS | V2500 A-CHECK 12,A12
T227,67,320,H205,120,,,CKC | A08 | ARBS | V2500 A-CHECK 8,A08
T228,34,320,H205,120,,,CKC | A08 | ARBS | V2500 A-CHECK 8,A08
T229,38,320,H205,120,,,CKC | A07 | ARBS | V2500 A-CHECK 7,A07
T229,93,320,H205,92,,,CKC | C08 | A320 SERIES C8 PHASE CHECK,C08
T229,580,320,H205,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T229,89,320,H205,92,,,CKC | C10 | A320 SERIES C10 PHASE CHECK,C10
T229,547,320,H205,92,,,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T229,84,320,H205,92,,,CKC | C09 | A320 SERIES C9 PHASE CHECK,C09
T229,580,320,H205,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T229,577,320,H205,92,,,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T229,91,320,H205,92,,,CKC | C07 | A320 SERIES C7 PHASE CHECK,C07
T229,574,320,H205,92,,,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
T229,572,320,H205,92,,,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T023,40,319,319S,92,,,CKC | C09 | A320 SERIES C9 PHASE CHECK,C09
T023,40,319,319S,92,,,CKC | C07 | A320 SERIES C7 PHASE CHECK,C07
T023,40,319,319S,92,,,CKC | C08 | A320 SERIES C8 PHASE CHECK,C08
T023,40,319,319S,92,,,CKC | C10 | A320 SERIES C10 PHASE CHECK,C10
T023,70,319,319S,120,,,CKC | A09 | ARBS | CFM A-CHECK 9,A09
T023,240,319,319S,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T023,257,319,319S,92,,,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T023,264,319,319S,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T023,263,319,319S,92,,,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T023,265,319,319S,92,,,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T023,270,319,319S,92,,,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
T230,90,320,H205,120,,,CKC | A03 | ARBS | V2500 A-CHECK 3,A03
T230,146,320,H205,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T230,146,320,H205,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T230,162,320,H205,92,,,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
T230,167,320,H205,92,,,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T230,169,320,H205,92,,,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T230,171,320,H205,92,,,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T230,470,320,H205,92,,,CKC | C09 | A320 SERIES C9 PHASE CHECK,C09
T230,481,320,H205,92,,,CKC | C10 | A320 SERIES C10 PHASE CHECK,C10
T230,475,320,H205,92,,,CKC | C07 | A320 SERIES C7 PHASE CHECK,C07
T230,449,320,H205,92,,,CKC | C08 | A320 SERIES C8 PHASE CHECK,C08
T231,31,320,H205,120,,,CKC | A10 | ARBS | V2500 A-CHECK 10,A10
T231,274,320,H205,92,,,CKC | C10 | A320 SERIES C10 PHASE CHECK,C10
T231,703,320,H205,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T231,292,320,H205,92,,,CKC | C09 | A320 SERIES C9 PHASE CHECK,C09
T231,294,320,H205,92,,,CKC | C08 | A320 SERIES C8 PHASE CHECK,C08
T231,703,320,H205,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T231,280,320,H205,92,,,CKC | C07 | A320 SERIES C7 PHASE CHECK,C07
T232,101,320,H205,120,,,CKC | A12 | ARBS | V2500 A-CHECK 12,A12
T232,674,320,H205,92,,,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T232,695,320,H205,92,,,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T232,210,320,H205,92,,,CKC | C07 | A320 SERIES C7 PHASE CHECK,C07
T232,213,320,H205,92,,,CKC | C09 | A320 SERIES C9 PHASE CHECK,C09
T232,215,320,H205,92,,,CKC | C10 | A320 SERIES C10 PHASE CHECK,C10
T232,650,320,H205,92,,,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
T232,675,320,H205,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T232,252,320,H205,92,,,CKC | C08 | A320 SERIES C8 PHASE CHECK,C08
T232,675,320,H205,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T233,62,320,H205,92,,,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
T233,50,320,H205,120,,,CKC | A11 | ARBS | V2500 A-CHECK 11,A11
T233,75,320,H205,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T233,75,320,H205,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T233,96,320,H205,92,,,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T233,98,320,H205,92,,,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T233,102,320,H205,92,,,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T234,32,320,H205,92,,,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
T234,37,320,H205,92,,,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T234,42,320,H205,92,,,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T234,52,320,H205,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T234,52,320,H205,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T234,60,320,H205,92,,,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T234,92,320,H205,120,,,CKC | A11 | ARBS | V2500 A-CHECK 11,A11
T235,25,320,H205,120,,,CKC | A08 | ARBS | V2500 A-CHECK 8,A08
T235,40,320,H205,92,,,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T235,66,320,H205,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T235,66,320,H205,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T235,75,320,H205,92,,,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T235,85,320,H205,92,,,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
T235,88,320,H205,92,,,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T236,57,320,H205,120,,,CKC | A09 | ARBS | V2500 A-CHECK 9,A09
T236,115,320,H205,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T236,115,320,H205,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T236,106,320,H205,92,,,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T236,114,320,H205,92,,,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T236,129,320,H205,92,,,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
T236,134,320,H205,92,,,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T237,12,320,H205,92,,,CKC | C07 | A320 SERIES C7 PHASE CHECK,C07
T237,31,320,H205,120,,,CKC | A09 | ARBS | V2500 A-CHECK 9,A09
T237,203,320,H205,92,,,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T237,203,320,H205,92,,,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T237,242,320,H205,92,,,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
